total_responses,days_since_last,total_donations,age,gender,blood_type,urgency_level,distance_km,hour_of_day,day_of_week,accepted,acceptance_rate,recency_score,loyalty_score
1,5,2,38,1,4,1,5.62,5,5,1,0.9249932570583406,0.9200444146293233,0.2
0,999,3,27,0,6,1,4.99,1,0,1,0.5,0.0,0.3
2,30,10,30,0,2,2,5.66,6,6,1,0.9290630318047506,0.6065306597126334,1.0
5,5,1,32,1,6,2,0.5,16,1,1,0.9943417572861344,0.9200444146293233,0.1
5,30,3,29,0,5,1,1.17,13,4,1,0.6169054886596341,0.6065306597126334,0.3
0,999,1,40,1,3,2,6.72,13,3,0,0.5,0.0,0.1
0,999,5,35,0,4,1,8.53,9,4,0,0.5,0.0,0.5
1,5,3,39,1,5,1,3.7,8,0,1,0.9294316298284021,0.9200444146293233,0.3
0,999,3,30,0,4,1,25.21,12,5,1,0.5,0.0,0.3
5,60,2,25,0,5,1,1.16,19,6,0,0.6798936787005861,0.36787944117144233,0.2
3,30,3,28,0,2,1,41.5,11,1,1,0.9323900808688187,0.6065306597126334,0.3
5,999,0,32,1,2,2,14.54,12,5,0,0.33478924086213224,0.0,0.0
0,999,1,37,0,5,1,7.38,14,4,0,0.5,0.0,0.1
3,180,4,39,0,1,1,7.17,6,5,0,0.026138759519432002,0.049787068367863944,0.4
3,180,3,27,0,8,1,2.35,3,4,1,0.8142314840487366,0.049787068367863944,0.3
3,60,4,23,1,7,1,1.78,7,5,1,0.9828196443390702,0.36787944117144233,0.4
5,365,3,28,1,6,1,1.86,5,0,0,0.18576595069600504,0.002280562095392161,0.3
0,999,4,34,0,8,2,3.72,22,4,0,0.5,0.0,0.4
1,15,4,33,1,5,1,1.59,14,6,1,0.8567363554533189,0.7788007830714049,0.4
0,999,3,37,0,6,1,5.42,4,6,0,0.5,0.0,0.3
3,5,4,41,0,2,2,19.09,4,3,1,0.8366568976647367,0.9200444146293233,0.4
0,999,2,32,0,5,1,7.58,4,5,1,0.5,0.0,0.2
0,999,3,29,0,8,1,3.21,21,5,0,0.5,0.0,0.3
0,999,3,38,1,4,1,0.84,8,4,1,0.5,0.0,0.3
1,15,3,38,0,3,2,3.59,18,1,1,0.5810044619049377,0.7788007830714049,0.3
1,0,7,28,1,7,1,8.66,10,2,1,0.8031899408882879,1.0,0.7
1,5,3,30,0,6,1,4.81,22,5,1,0.9173527433908107,0.9200444146293233,0.3
0,999,3,35,0,4,1,5.95,16,1,0,0.5,0.0,0.3
1,0,3,35,0,1,2,4.73,18,2,1,0.9323744917120592,1.0,0.3
0,999,2,44,0,4,1,18.64,6,0,0,0.5,0.0,0.2
15,90,4,28,0,1,1,10.49,18,6,1,0.7400731864325462,0.22313016014842982,0.4
1,5,4,34,0,5,1,21.57,6,1,0,0.20354498662931075,0.9200444146293233,0.4
3,5,4,33,1,6,1,17.93,22,2,1,0.6807044527508915,0.9200444146293233,0.4
3,15,5,34,1,7,1,12.33,17,6,1,0.6478647806382675,0.7788007830714049,0.5
0,999,3,27,0,8,1,9.08,18,2,1,0.5,0.0,0.3
3,60,4,40,0,8,1,2.6,0,2,0,0.285989326512781,0.36787944117144233,0.4
1,5,1,28,0,4,1,20.65,3,6,0,0.3035231009590718,0.9200444146293233,0.1
0,999,4,36,0,8,1,4.01,8,4,1,0.5,0.0,0.4
4,60,0,25,0,4,2,0.98,13,3,1,0.9590606417519906,0.36787944117144233,0.0
2,30,4,40,0,2,2,16.21,21,1,1,0.36789819392050244,0.6065306597126334,0.4
0,999,5,28,0,5,1,6.41,13,1,1,0.5,0.0,0.5
1,0,2,35,0,1,1,8.13,5,0,1,0.5671336958500858,1.0,0.2
0,999,2,31,1,6,1,16.1,4,2,0,0.5,0.0,0.2
2,30,1,30,0,4,2,1.08,13,4,1,0.8569174535705419,0.6065306597126334,0.1
3,0,0,39,0,8,1,17.67,22,1,1,0.8176250043442205,1.0,0.0
0,999,3,39,0,6,1,7.71,3,2,0,0.5,0.0,0.3
1,0,1,35,0,7,2,21.05,14,3,1,0.8204078934118122,1.0,0.1
4,90,1,29,0,7,1,2.34,16,6,1,0.7389452693916104,0.22313016014842982,0.1
1,0,5,31,1,4,1,13.1,0,5,1,0.9466162063866282,1.0,0.5
10,15,1,38,1,7,1,12.74,5,3,1,0.45278866500270404,0.7788007830714049,0.1
5,999,0,33,1,4,1,7.61,5,3,0,0.046679205955111644,0.0,0.0
5,90,4,26,1,8,1,5.21,7,4,0,0.3513546287701793,0.22313016014842982,0.4
1,15,2,31,0,5,1,0.94,1,3,0,0.003691804861818971,0.7788007830714049,0.2
1,30,3,32,0,1,1,8.41,16,4,1,0.8128388283811978,0.6065306597126334,0.3
4,0,0,34,0,5,2,11.81,17,4,1,0.6816850674345141,1.0,0.0
1,0,2,26,1,7,1,0.96,16,3,1,0.9724465122297032,1.0,0.2
15,0,4,28,1,2,1,19.96,8,1,1,0.719432955722952,1.0,0.4
3,30,1,34,0,8,2,3.07,20,4,1,0.5134704148252686,0.6065306597126334,0.1
4,15,2,33,0,5,2,2.27,13,1,1,0.7864084249000677,0.7788007830714049,0.2
3,180,7,36,0,5,1,10.31,14,2,1,0.8412143535721622,0.049787068367863944,0.7
1,30,0,31,0,7,2,0.78,15,6,1,0.8851557105561779,0.6065306597126334,0.0
1,0,4,32,0,4,1,3.15,3,3,1,0.9872212914469504,1.0,0.4
3,0,5,30,1,7,1,6.04,8,6,0,0.07513645598774114,1.0,0.5
1,180,3,30,1,8,1,2.34,9,3,0,0.19960617282018267,0.049787068367863944,0.3
1,0,0,26,0,4,1,2.93,8,4,1,0.6965622858455128,1.0,0.0
2,5,4,32,0,8,1,4.86,19,6,1,0.8835742651376062,0.9200444146293233,0.4
4,5,2,35,0,8,1,11.62,21,0,0,0.46894721174326476,0.9200444146293233,0.2
2,365,3,32,0,8,1,12.4,0,3,0,0.14478505840845302,0.002280562095392161,0.3
1,0,2,31,0,4,2,11.72,9,3,1,0.7587369301975811,1.0,0.2
4,999,2,35,0,8,2,2.69,1,6,0,0.15333638709560063,0.0,0.2
4,30,4,46,1,5,2,14.65,12,0,1,0.4801908925579968,0.6065306597126334,0.4
10,999,1,26,0,6,1,8.47,10,1,0,0.31715039036913434,0.0,0.1
1,5,5,23,1,7,1,2.05,4,4,1,0.7636153710508033,0.9200444146293233,0.5
0,999,2,32,1,8,2,33.1,20,4,1,0.5,0.0,0.2
0,999,1,35,0,6,2,3.6,8,2,0,0.5,0.0,0.1
2,0,1,27,0,5,2,9.02,17,1,1,0.9732745832460455,1.0,0.1
5,5,2,41,0,1,1,3.62,8,5,1,0.6199313941839524,0.9200444146293233,0.2
4,5,0,30,0,2,1,0.5,4,4,1,0.7731198455386792,0.9200444146293233,0.0
10,5,5,32,0,5,2,1.1,21,4,1,0.9031435918132767,0.9200444146293233,0.5
4,15,10,33,0,4,1,5.03,1,2,0,0.1000865018240103,0.7788007830714049,1.0
0,999,7,30,1,6,2,2.84,0,2,0,0.5,0.0,0.7
